Marca,Carroceria,Quilometragem,Capacidade_do_motor,Tipo_de_motor,Registro,Ano,Modelo,log_preco
BMW,sedan,445787.18,2.0,Petrol,yes,1991,320,8.34283980427146
Mercedes-Benz,van,687188.1799999999,2.9,Diesel,yes,1999,Sprinter 212,8.974618038455112
Mercedes-Benz,sedan,576143.72,5.0,Gas,yes,2003,S 500,9.495519314209846
Audi,crossover,386241.6,4.2,Petrol,yes,2007,Q7,10.043249494911286
Toyota,crossover,193120.8,2.0,Petrol,yes,2011,Rav 4,9.814656338829513
Mercedes-Benz,crossover,0.0,5.5,Petrol,yes,2016,GLS 63,12.206067645517674
BMW,sedan,704890.92,2.0,Gas,yes,1997,320,8.716044050161402
Audi,vagon,321868.0,2.7,Diesel,yes,2006,A6,9.560997243589352
Renault,vagon,310602.62,1.5,Diesel,yes,2012,Megane,9.28720881623276
Volkswagen,other,341180.07999999996,1.8,Gas,no,1999,Golf IV,7.24422751560335
Renault,vagon,284853.18,1.5,Diesel,yes,2011,Megane,9.388486557359657
Renault,sedan,418428.4,1.79,Petrol,yes,1994,19,7.824046010856292
Audi,vagon,265541.1,2.7,Gas,yes,2003,A6 Allroad,9.159047077588632
Volkswagen,sedan,160934.0,1.8,Petrol,yes,2008,Passat B6,9.259130536145614
Toyota,crossover,402335.0,4.7,Gas,yes,2001,Land Cruiser 100,9.680344001221918
Renault,hatch,135184.56,1.5,Diesel,yes,2012,Clio,9.0595174822416
BMW,other,326696.01999999996,2.0,Petrol,no,2001,318,8.003028666384733
Toyota,crossover,33796.14,2.0,Petrol,yes,2013,Rav 4,10.184900011974314
Audi,vagon,402335.0,2.5,Diesel,no,1998,A6,8.160518247477505
Toyota,other,0.0,2.4,Diesel,yes,2016,Hilux,10.551454296015532
Volkswagen,hatch,212432.88,1.4,Diesel,yes,2006,Polo,8.922658299524402
Audi,sedan,362101.5,2.4,Gas,yes,1998,A6,8.824677891164198
Mitsubishi,crossover,209214.2,2.4,Gas,yes,2006,Outlander,9.259130536145614
Audi,sedan,262322.42000000004,4.2,Diesel,yes,2008,A8,10.1226230824528
Volkswagen,crossover,243010.34,3.0,Diesel,yes,2008,Touareg,9.94270826568941
Audi,sedan,531082.2,2.4,Petrol,yes,1999,A6,8.779557455883728
Mercedes-Benz,other,275197.14,2.2,Other,no,2011,Vito,9.515321941506025
Mitsubishi,hatch,104607.1,1.3,Petrol,yes,2010,Colt,9.047821442478408
Audi,sedan,1609.34,2.3,Gas,yes,1989,100,7.9724660159745655
BMW,other,115872.48,3.0,Petrol,yes,2007,Z4,9.975808214115753
Mitsubishi,crossover,140012.58,3.8,Gas,yes,2008,Pajero Wagon,9.792555991828847
BMW,crossover,257494.4,4.8,Gas,yes,2008,X5,10.257659366256743
Volkswagen,van,257494.4,1.9,Diesel,yes,2009,Caddy,9.190137664658664
Toyota,sedan,236572.98,2.4,Gas,yes,2006,Camry,9.581903928408666
BMW,sedan,482802.0,2.8,Petrol,yes,1996,528,8.699514748210191
BMW,crossover,1609.34,2.5,Diesel,yes,2016,X5,11.119882876860622
Audi,other,22530.760000000002,1.8,Petrol,yes,2014,TT,10.431170293368542
Mercedes-Benz,van,370148.19999999995,2.15,Diesel,yes,2004,Vito,9.190137664658664
Mercedes-Benz,crossover,138403.24000000002,5.5,Petrol,yes,2009,G 55 AMG,11.05089000537367
BMW,sedan,524644.8400000001,2.8,Petrol,yes,1998,528,8.948975607841776
Mercedes-Benz,van,48280.2,2.2,Diesel,yes,2006,Vito,9.169518377455928
Toyota,sedan,291290.54000000004,2.4,Petrol,yes,2008,Camry,9.457200449907708
BMW,crossover,128747.2,3.0,Petrol,yes,2012,X6,10.621327345686446
Mitsubishi,sedan,354054.8,2.4,Petrol,yes,1987,Galant,7.824046010856292
BMW,sedan,371757.54,2.5,Petrol,yes,1990,525,8.216088098632316
